month_id,fed_rate
2020_01,1.55
2020_02,1.58
2020_03,0.65
2020_04,0.05
2020_05,0.05
2020_06,0.08
2020_07,0.09
2020_08,0.1
2020_09,0.09
2020_10,0.09
2020_11,0.09
2020_12,0.09
2021_01,0.09
2021_02,0.08
2021_03,0.07
2021_04,0.07
2021_05,0.06
2021_06,0.08
2021_07,0.1
2021_08,0.09
2021_09,0.08
2021_10,0.08
2021_11,0.08
2021_12,0.08
2022_01,0.08
2022_02,0.08
2022_03,0.2
2022_04,0.33
2022_05,0.77
2022_06,1.21
2022_07,1.68
2022_08,2.33
2022_09,2.56
2022_10,3.08
2022_11,3.78
2022_12,4.1
2023_01,4.33
2023_02,4.57
2023_03,4.65
2023_04,4.83
2023_05,5.06
2023_06,5.08
