month_id,index_return,index_value
2020_01,-0.006451581433148226,99.35484185668517
2020_02,-0.05305385780196791,94.08368420488358
2020_03,-0.11137930668474899,83.60470868779679
2020_04,0.14131250144616336,95.41909920514713
2020_05,0.07123170969088975,102.21596477869437
2020_06,0.0165969919236579,103.91244232059526
2020_07,0.03252550070111102,107.29224653614793
2020_08,0.032697004241217256,110.8003815761901
2020_09,-0.011368277784542528,109.54077205979867
2020_10,-0.005555647799312372,108.93220211056966
2020_11,0.09902224872377946,119.7189137219915
2020_12,0.02617809243863256,122.85292651205847
2021_01,0.0029817559210516737,123.21924395310432
2021_02,0.030870153153792133,127.02304088543113
2021_03,0.023000806603382568,129.9446732830105
2021_04,0.026047000441159717,133.3293422453394
2021_05,0.0047661747616157685,133.96481319133196
2021_06,0.008799476198739302,135.14363337647762
2021_07,0.005433656159976957,135.8779574124554
2021_08,0.016970709850999802,138.1839028028487
2021_09,-0.02635301943358391,134.54233972687678
2021_10,0.03639485393792129,139.43898852970264
2021_11,-0.022237985880414562,136.33814627159984
2021_12,0.02258194905869506,139.41692734546203
2022_01,-0.04043156936444601,133.78008217691604
2022_02,-0.008402826654628937,132.6559513365414
2022_03,0.01858592055076676,135.12148430866876
2022_04,-0.055886754179728645,127.56998313071011
2022_05,0.0005051878976052938,127.63442994228544
2022_06,-0.06409243174997462,119.4540289522626
2022_07,0.06798890052379807,127.57557704386488
2022_08,-0.012755256149718284,125.94831788022228
2022_09,-0.05732839649497704,118.72790277490948
2022_10,0.05475682963698885,125.22906632031219
2022_11,0.03485790210633753,129.59428885497368
2022_12,-0.03997371343620617,124.41392388931605
2023_01,0.05409869148779332,131.14455437458994
2023_02,-0.014666013865674734,129.22118652172446
2023_03,0.004782369750228229,129.83917001523454
2023_04,-0.0014343203231562186,129.65293905493996
2023_05,-0.005922865409872416,128.88502214692315
2023_06,0.053319184355175006,135.75706640339575
